GeneSymbol,EntrezID,logFC,CI,AveExpr,PValue,adjPVal,StudyName,BrainRegion,Contrast,StratFactor
MAPT,4137,-0.029,-0.228 to 0.171,2.393,7.7234e-01,9.8067e-01,MSBB,Amygdala,DNAD-NCI,CpDxLow
MAPT,4137,-0.994,-2.031 to 0.043,6.865,5.9722e-02,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
MAPT,4137,-0.327,-0.832 to 0.179,10.146,1.9832e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
MAPT,4137,-1.132,-3.018 to 0.754,7.477,2.3134e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
MAPT,4137,-0.71,-2.021 to 0.602,7.669,2.7962e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
MAPT,4137,-0.377,-1.168 to 0.413,8.112,3.3903e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
MAPT,4137,0.003,-0.452 to 0.458,2.393,9.8934e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
TREM2,54209,0.405,-0.044 to 0.853,3.587,7.5816e-02,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
TREM2,54209,0.029,-0.419 to 0.477,3.587,8.9670e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
TREM2,54209,-0.375,-0.817 to 0.066,3.587,9.3751e-02,5.8024e-01,MSBB,Amygdala,B3-B2,Braak
TREM2,54209,-0.149,-0.538 to 0.24,3.596,4.4722e-01,9.4699e-01,MSBB,Amygdala,AD-NCI,CDR
TREM2,54209,0.064,-0.548 to 0.676,3.596,8.3460e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
TREM2,54209,-0.072,-0.59 to 0.446,3.596,7.8160e-01,9.9992e-01,MSBB,Amygdala,C2-C0,CERAD
TREM2,54209,0.086,-0.388 to 0.559,3.596,7.1829e-01,9.9993e-01,MSBB,Amygdala,C3-C0,CERAD
TREM2,54209,0.023,-0.497 to 0.544,3.587,9.2826e-01,9.9987e-01,MSBB,Amygdala,AD-DNAD,CpDxAll
TREM2,54209,-0.025,-0.526 to 0.475,3.587,9.1959e-01,9.9993e-01,MSBB,Amygdala,AD-NCI,CpDxAll
TREM2,54209,-0.278,-0.886 to 0.331,3.587,3.6405e-01,9.5022e-01,MSBB,Amygdala,AD-PC,CpDxAll
TREM2,54209,-0.049,-0.664 to 0.566,3.587,8.7417e-01,9.9427e-01,MSBB,Amygdala,DNAD-NCI,CpDxAll
TREM2,54209,0.252,-0.439 to 0.943,3.587,4.6706e-01,9.9997e-01,MSBB,Amygdala,PC-NCI,CpDxAll
TREM2,54209,-0.139,-0.652 to 0.374,3.498,5.8612e-01,9.9784e-01,MSBB,Amygdala,AD-DNAD,CpDxLow
TREM2,54209,-0.188,-0.685 to 0.31,3.498,4.4882e-01,9.3934e-01,MSBB,Amygdala,AD-NCI,CpDxLow
TREM2,54209,-0.515,-1.759 to 0.728,3.498,4.0614e-01,9.9992e-01,MSBB,Amygdala,AD-PC,CpDxLow
TREM2,54209,-0.049,-0.601 to 0.503,3.498,8.5881e-01,9.8939e-01,MSBB,Amygdala,DNAD-NCI,CpDxLow
TREM2,54209,0.328,-0.932 to 1.587,3.498,6.0123e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
